,Gremio FC Utah,Salt Lake City, UT,Premier,https://premier.upsl.com/teams/gremio-fc-utah-889191,
,Gremio FC Utah II,Salt Lake City, UT,Division 1,http://division1.upsl.com/teams/gremio-fc-utah-ii-330816,
,Gremio FC Utah U15,Salt Lake City, UT,Academy Boys,http://academyboys.upsl.com/teams/gremio-fc-utah-u15-419855,
,Gremio FC Utah U18,Salt Lake City, UT,Academy Boys,http://academyboys.upsl.com/teams/gremio-fc-utah-u18-296021,
,Griffin United SC,NY,Division 1,http://division1.upsl.com/teams/griffin-united-sc-493353,
,Griffin United SC U15,NY,Academy Boys,http://academyboys.upsl.com/teams/griffin-united-sc-u15-905932,
,Griffin United SC U17,NY,Academy Boys,http://academyboys.upsl.com/teams/griffin-united-sc-u17-891068,
,Grove Soccer United,Richmond, VA,Premier,https://premier.upsl.com/teams/grove-soccer-united-218773,
,GZS Bridgeport FC,Bridgeport, CT,Premier,https://premier.upsl.com/teams/gzs-bridgeport-fc-961468,
,Hamtramck City FC,Hamtramck, MI,Premier,https://premier.upsl.com/teams/hamtramck-city-fc-49468,
,Hamtramck City FC,Hamtramck, MI,Premier,https://premier.upsl.com/teams/hamtramck-city-fc-668418,
,Harbor City FC,Melbourne, FL,Premier,https://premier.upsl.com/teams/harbor-city-fc-260506,
,Hartford Athletic U19,Hartford, CT,Premier,https://premier.upsl.com/teams/hartford-athletic-u19-831745,
,HIALEAH CITY FOOTBALL CLUB,HIALEAH, FL,Division 1,http://division1.upsl.com/teams/hialeah-city-football-club-305005,
,HIGH SOCCER PROSPECTS,ORLANDO, FL,Division 1,http://division1.upsl.com/teams/high-soccer-prospects-119648,
,High Soccer Prospects,Orlando, FL,Division 1,http://division1.upsl.com/teams/high-soccer-prospects-91955,
,Hodler FC,Doral , FL,Division 1,http://division1.upsl.com/teams/hodler-fc-367742,
,Hodler Miami Fc,Doral , FL,Premier,https://premier.upsl.com/teams/hodler-miami-fc-450321,
,Hodler Miami FC II,Doral, FL,Division 1,http://division1.upsl.com/teams/hodler-miami-fc-ii-28014,
,Holac FC,Seattle, WA,Premier,https://premier.upsl.com/teams/holac-fc-98593,
