30,in, #39 Middletown Mayhem ,,https://selectbaseballteams.com/softball/organization/middletown/in/middletown-mayhem/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Middletown, IN,,,,,,
30,in, #40 Indy Dreams Gold 03 (Lewis/Tackett) ,,https://selectbaseballteams.com/softball/organization/shelbyville/in/indy-dreams-gold-03-lewistackett/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Shelbyville, IN,,,,,,
30,in, #41 Indiana Magic (Knipp) ,,https://selectbaseballteams.com/softball/organization/battle-ground/in/indiana-magic-knipp/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Battle Ground, IN,,,,,,
30,in, #42 Indiana Outkast ,,https://selectbaseballteams.com/softball/organization/terre-haute/in/indiana-outkast-0/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Terre Haute, IN,,,,,,
30,in, #43 Indiana Primetime 16U (Ream) ,,https://selectbaseballteams.com/softball/organization/noblesville/in/indiana-primetime-16u-ream/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Noblesville, IN,,,,,,
30,in, #44 Indiana Intensity ,,https://selectbaseballteams.com/softball/organization/georgetown/in/indiana-intensity/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Georgetown, IN,,,,,,
30,in, #45 Indiana Magic Gold 03 ,,https://selectbaseballteams.com/softball/organization/evansville/in/indiana-magic-gold-03/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Evansville, IN,,,,,,
30,in, #46 Indy Rebels 05 ,,https://selectbaseballteams.com/softball/organization/plainfield/in/indy-rebels-05/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Plainfield, IN,,,,,,
30,in, #47 Indiana Shockwaves Pirillo 18U ,,https://selectbaseballteams.com/softball/organization/evansville/in/indiana-shockwaves-pirillo-18u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Evansville, IN,,,,,,
30,in, #48 True Impact ,,https://selectbaseballteams.com/softball/organization/topeka/in/true-impact-0/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Topeka, IN,,,,,,
30,in, #49 Central Indiana Catz ,,https://selectbaseballteams.com/softball/organization/elwood/in/central-indiana-catz/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Elwood, IN,,,,,,
30,in, #50 Michiana Repetition (Waldron) ,,https://selectbaseballteams.com/softball/organization/osceola/in/michiana-repetition-waldron/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Osceola, IN,,,,,,
31,in, #1 Midwest Astros Academy ,,https://selectbaseballteams.com/baseball/organization/greenfield/in/midwest-astros-academy/,,,,http://www.midwestastrosacademy.com/,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,2274 N Franklin St,Greenfield, IN 46410,,,,,,
31,in, #2 Imavex Orange ,,https://selectbaseballteams.com/baseball/organization/fishers/in/imavex-orange/,,,,https://www.imavexorange.com/index.php,,,317-774-7460,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,8770 North Street,Fishers, IN 46038,,,$1,0,,
